speaker_id,speaker_name,gender,category,split
id000001,Amaia Salamanca,female,actress,train
id000002,Mario Vaquerizo,male,journalist,train
id000003,Carolina Yuste,female,actress,train
id000004,Ana Guerra,female,singer,test
id000005,Najwa Nimri,female,actress,train
id000006,Aura Garrido,female,actress,test
id000007,María León,female,actress,train
id000008,Fernando Tejero,male,actor,train
id000009,Martiño Rivas,male,actor,train
id000010,María Pedraza,female,actress,train
id000011,Yon González,male,actor,train
id000012,Paco León,male,actor,train
id000013,Hugo Silva,male,actor,train
id000014,Álvaro Morte,male,actor,test
id000015,Pedro Alonso,male,actor,test
id000016,Pepón Nieto,male,actor,train
id000017,José Luis Gil,male,actor,validation
id000018,Michelle Jenner,female,actress,train
id000019,Claudia Salas,female,actress,train
id000020,Itziar Ituño,female,actress,train
id000021,Miren Ibarguren,female,actress,train
id000022,Belén Cuesta,female,actress,train
id000023,Maggie Civantos,female,actress,test
id000024,María Valverde,female,actress,train
id000025,Ángela Molina,female,actress,train
id000026,Angy Fernández,female,actress,train
id000027,Natalia Millán,female,actress,validation
id000028,Salva Reina,male,actor,train
id000029,Jaime Lorente,male,actor,train
id000030,Miguel Herrán,male,actor,train
id000031,Luis Tosar,male,actor,train
id000032,Elena Rivera,female,actress,train
id000033,Loquillo,male,singer,train
id000034,Luz Casal,female,singer,train
id000035,Iñaki Gabilondo,male,journalist,train
id000036,Marta Robles,female,journalist,train
id000037,Roberto Leal,male,tv_host,train
id000038,Eva Soriano,female,comedian,train
id000039,Carlos Alcaraz,male,athlete,train
id000040,Cristina Gutiérrez,female,athlete,train
id000041,Juan Luis Arsuaga,male,scientist,train
id000042,María Blasco,female,scientist,train
id000043,Karlos Arguiñano,male,chef,train
id000044,Samantha Vallejo-Nágera,female,chef,train
id000045,Rodrigo Cuevas,male,singer,test
id000046,Dolores Redondo,female,writer,validation
id000047,Ángel Martín,male,comedian,train
id000048,Ana Pontón,female,politician,validation
id000049,Miguel Induráin,male,athlete,validation
id000050,Judit Mascó,female,model,train
id000051,Ricard Camarena,male,chef,train
id000052,Andreu Genestra,male,chef,train
id000053,José Andrés,male,chef,validation
id000054,Joan Roca,male,chef,test
id000055,Sergi Arola,male,chef,train
id000056,Julius Bienert,male,chef,train
id000057,Eduardo José Daporta,male,chef,train
id000058,Pedro Subijana Reza,male,chef,train
id000059,Ángel León,male,chef,validation
id000060,Vicky Sevilla,female,chef,train
id000061,Esther Manzano,female,chef,train
id000062,Tamara Falcó,female,tv_host,train
id000063,Carme Ruscalleda,female,chef,validation
id000064,Begoña Rodrigo,female,chef,train
id000065,Celia Jiménez,female,chef,train
