speaker_id,name,gender,category,region,birth_year,reference_images,exclude_from_train,use,
id000001,Amaia Salamanca,female,actress,Madrid,1986,references/id000001_1.jpg;references/id000001_2.jpg,0,1,
id000002,Mario Vaquerizo,male,journalist,Madrid,1974,references/id000002_1.jpg;references/id000002_2.jpg,0,1,
id000003,Carolina Yuste,female,actress,Extremadura,1991,references/id000003_1.jpg;references/id000003_2.jpg,0,1,
id000004,Ana Guerra,female,singer,Canarias,1994,references/id000004_1.jpg;references/id000004_2.jpg,0,1,
id000005,Najwa Nimri,female,actress,Navarra,1972,references/id000005_1.jpg;references/id000005_2.jpg,0,1,
id000006,Aura Garrido,female,actress,Madrid,1989,references/id000006_1.jpg;references/id000006_2.jpg,0,1,
id000007,María León,female,actress,Andalucía,1984,references/id000007_1.jpg;references/id000007_2.jpg,0,1,
id000008,Fernando Tejero,male,actor,Andalucía,1967,references/id000008_1.jpg;references/id000008_2.jpg,0,1,
id000009,Martiño Rivas,male,actor,Galicia,1985,references/id000009_1.jpg;references/id000009_2.jpg,0,1,
id000010,María Pedraza,female,actress,Madrid,1996,references/id000010_1.jpg;references/id000010_2.jpg,0,1,
id000011,Yon González,male,actor,País Vasco,1986,references/id000011_1.jpg;references/id000011_2.jpg,0,1,
id000012,Paco León,male,actor,Andalucía,1974,references/id000012_1.jpg;references/id000012_2.jpg,0,1,
id000013,Hugo Silva,male,actor,Madrid,1977,references/id000013_1.jpg;references/id000013_2.jpg,0,1,
id000014,Álvaro Morte,male,actor,Andalucía,1975,references/id000014_1.jpg;references/id000014_2.jpg,0,1,
id000015,Pedro Alonso,male,actor,Galicia,1971,references/id000015_1.jpg;references/id000015_2.jpg,0,1,
id000016,Pepón Nieto,male,actor,Madrid,1967,references/id000016_1.jpg;references/id000016_2.jpg,0,1,
id000017,José Luis Gil,male,actor,Aragón,1957,references/id000017_1.jpg;references/id000017_2.jpg,0,1,
id000018,Michelle Jenner,female,actress,Cataluña,1986,references/id000018_1.jpg;references/id000018_2.jpg,0,1,
id000019,Claudia Salas,female,actress,Madrid,1994,references/id000019_1.jpg;references/id000019_2.jpg,0,1,
id000020,Itziar Ituño,female,actress,País Vasco,1974,references/id000020_1.jpg;references/id000020_2.jpg,0,1,
id000021,Miren Ibarguren,female,actress,País Vasco,1980,references/id000021_1.jpg;references/id000021_2.jpg,0,1,
id000022,Belén Cuesta,female,actress,Andalucía,1984,references/id000022_1.jpg;references/id000022_2.jpg,0,1,
id000023,Maggie Civantos,female,actress,Andalucía,1984,references/id000023_1.jpg;references/id000023_2.jpg,0,1,
id000024,María Valverde,female,actress,Madrid,1987,references/id000024_1.jpg;references/id000024_2.jpg,0,1,
id000025,Ángela Molina,female,actress,Madrid,1955,references/id000025_1.jpg;references/id000025_2.jpg,0,1,
id000026,Angy Fernández,female,actress,Illes Balears,1990,references/id000026_1.jpg;references/id000026_2.jpg,0,1,
id000027,Natalia Millán,female,actress,Madrid,1969,references/id000027_1.jpg;references/id000027_2.jpg,0,1,
id000028,Salva Reina,male,actor,Andalucía,1978,references/id000028_1.jpg;references/id000028_2.jpg,0,1,
id000029,Jaime Lorente,male,actor,Murcia,1991,references/id000029_1.jpg;references/id000029_2.jpg,0,1,
id000030,Miguel Herrán,male,actor,Andalucía,1996,references/id000030_1.jpg;references/id000030_2.jpg,0,1,
id000031,Luis Tosar,male,actor,Galicia,1971,references/id000031_1.jpg;references/id000031_2.jpg,0,1,
id000032,Elena Rivera,female,actress,Aragón,1992,references/id000032_1.jpg;references/id000032_2.jpg,0,1,
id000033,Loquillo,male,singer,Cataluña,1960,references/id000033_1.jpg;references/id000033_2.jpg,0,1,
id000034,Luz Casal,female,singer,Galicia,1958,references/id000034_1.jpg;references/id000034_2.jpg,0,1,
id000035,Iñaki Gabilondo,male,journalist,País Vasco,1942,references/id000035_1.jpg;references/id000035_2.jpg,0,1,
id000036,Marta Robles,female,journalist,Madrid,1963,references/id000036_1.jpg;references/id000036_2.jpg,0,1,
id000037,Roberto Leal,male,tv_host,Andalucía,1979,references/id000037_1.jpg;references/id000037_2.jpg,0,1,
id000038,Eva Soriano,female,comedian,Cataluña,1990,references/id000038_1.jpg;references/id000038_2.jpg,0,1,
id000039,Carlos Alcaraz,male,athlete,Murcia,2003,references/id000039_1.jpg;references/id000039_2.jpg,0,1,
id000040,Cristina Gutiérrez,female,athlete,Castilla y León,1991,references/id000040_1.jpg;references/id000040_2.jpg,0,1,
id000041,Juan Luis Arsuaga,male,scientist,Madrid,1954,references/id000041_1.jpg;references/id000041_2.jpg,0,1,
id000042,María Blasco,female,scientist,Comunidad Valenciana,1965,references/id000042_1.jpg;references/id000042_2.jpg,0,1,
id000043,Karlos Arguiñano,male,chef,País Vasco,1948,references/id000043_1.jpg;references/id000043_2.jpg,0,1,
id000044,Samantha Vallejo-Nágera,female,chef,Madrid,1969,references/id000044_1.jpg;references/id000044_2.jpg,0,1,
id000045,Rodrigo Cuevas,male,singer,Asturias,1985,references/id000045_1.jpg;references/id000045_2.jpg,0,1,
id000046,Dolores Redondo,female,writer,País Vasco,1969,references/id000046_1.jpg;references/id000046_2.jpg,0,1,
id000047,Ángel Martín,male,comedian,Cataluña,1977,references/id000047_1.jpg;references/id000047_2.jpg,0,1,
id000048,Ana Pontón,female,politician,Galicia,1977,references/id000048_1.jpg;references/id000048_2.jpg,0,1,
id000049,Miguel Induráin,male,athlete,Navarra,1964,references/id000049_1.jpg;references/id000049_2.jpg,0,1,
id000050,Judit Mascó,female,model,Cataluña,1969,references/id000050_1.jpg;references/id000050_2.jpg,0,1,
