speaker_id,youtube_id,url,split,priority,use,notes
id000001,Xu6kJTU97lA,https://www.youtube.com/watch?v=Xu6kJTU97lA,train,1,1,entrevista larga
id000001,dJUtQeUuCJM,https://www.youtube.com/watch?v=dJUtQeUuCJM,train,2,1,segunda entrevista
id000001,0wzQoxQuSIY,https://www.youtube.com/watch?v=0wzQoxQuSIY,train,3,1,tercera entrevista
id000001,HX0DX846jnU,https://www.youtube.com/watch?v=HX0DX846jnU,train,4,1,cuarta entrevista
id000001,1VfGfz_A3pI,https://www.youtube.com/watch?v=1VfGfz_A3pI,train,5,1,quinta entrevista
  
id000002,GJnSsecn_C0,https://www.youtube.com/watch?v=GJnSsecn_C0,train,1,1,entrevista tv
id000002,79R9jCTVjMQ,https://www.youtube.com/watch?v=79R9jCTVjMQ,train,2,1,entrevista tv
id000002,qocJo5ithuQ,https://www.youtube.com/watch?v=qocJo5ithuQ,train,3,1,entrevista tv
id000002,-E6QhQEAfLg,https://www.youtube.com/watch?v=-E6QhQEAfLg,train,4,1,entrevista tv

id000003,ufWPwfLvcRg,https://www.youtube.com/watch?v=ufWPwfLvcRg,train,1,1,entrevista 
id000003,nbdNzpq0qvA,https://www.youtube.com/watch?v=nbdNzpq0qvA,train,2,1,entrevista 
id000003,RV5jtNSCqwI,https://www.youtube.com/watch?v=RV5jtNSCqwI,train,3,1,entrevista 
id000003,60eNUczxqq0,https://www.youtube.com/watch?v=60eNUczxqq0,train,4,1,entrevista 

id000004,IRCtmpBjUhk,https://www.youtube.com/watch?v=IRCtmpBjUhk,train,1,1,entrevista tv
id000004,dtv2Oe9irdU,https://www.youtube.com/watch?v=dtv2Oe9irdU,train,2,1,entrevista tv
id000004,zty4VgKtk20,https://www.youtube.com/watch?v=zty4VgKtk20,train,3,1,entrevista 
id000004,qHHQC3kPNZ0,https://www.youtube.com/watch?v=qHHQC3kPNZ0,train,4,1,entrevista tv

id000005,GGXIR6uzXJM,https://www.youtube.com/watch?v=GGXIR6uzXJM,train,1,1,entrevista tv
id000005,pCch9emSXqA,https://www.youtube.com/watch?v=pCch9emSXqA,train,2,1,entrevista tv
id000005,EVkYXISiTJE,https://www.youtube.com/watch?v=EVkYXISiTJE,train,3,1,entrevista tv
id000005,JbuP8HRsI_Q,https://www.youtube.com/watch?v=JbuP8HRsI_Q,train,4,1,entrevista tv

id000006,PEute8IqrgE,https://www.youtube.com/watch?v=PEute8IqrgE,train,1,1,entrevista tv
id000006,Z90Xv5-7yOc,https://www.youtube.com/watch?v=Z90Xv5-7yOc,train,2,1,entrevista tv
id000006,wDGElqPyZQY,https://www.youtube.com/watch?v=wDGElqPyZQY,train,3,1,entrevista tv
id000006,Qv0vBjdyzx4,https://www.youtube.com/watch?v=Qv0vBjdyzx4,train,4,1,entrevista tv

id000007,AQ9f-BO-TXo,https://www.youtube.com/watch?v=AQ9f-BO-TXo,train,1,1,entrevista tv
id000007,ptkoDyaDc3s,https://www.youtube.com/watch?v=ptkoDyaDc3s,train,2,1,entrevista tv
id000007,5HlNAEaSMo8,https://www.youtube.com/watch?v=5HlNAEaSMo8,train,3,1,entrevista tv
id000007,6V6PvSwGI30,https://www.youtube.com/watch?v=6V6PvSwGI30,train,4,1,entrevista tv

id000008,fPAV18HqIZA,https://www.youtube.com/watch?v=fPAV18HqIZA,train,1,1,entrevista tv
id000008,s3OZ08rk2Uk,https://www.youtube.com/watch?v=s3OZ08rk2Uk,train,2,1,entrevista tv
id000008,hGzXOUqxSz0,https://www.youtube.com/watch?v=hGzXOUqxSz0,train,3,1,entrevista tv
id000008,6u3-X4AMSBc,https://www.youtube.com/watch?v=6u3-X4AMSBc,train,4,1,entrevista tv
id000008,y2FrZ6EbN1c,https://www.youtube.com/watch?v=y2FrZ6EbN1c,train,5,1,entrevista tv
id000008,AydVkMW0ANU,https://www.youtube.com/watch?v=AydVkMW0ANU,train,6,1,entrevista tv

id000009,WTc5-nAZC0s,https://www.youtube.com/watch?v=WTc5-nAZC0s,train,1,1,entrevista tv
id000009,BVXCfWcynaw,https://www.youtube.com/watch?v=BVXCfWcynaw,train,2,1,entrevista tv
id000009,635sRyxr7AE,https://www.youtube.com/watch?v=635sRyxr7AE,train,3,1,entrevista tv
id000009,1643LBDDd6A,https://www.youtube.com/watch?v=1643LBDDd6A,train,4,1,entrevista tv

id000010,GOZvPaOxCrM,https://www.youtube.com/watch?v=GOZvPaOxCrM,train,1,1,entrevista tv
id000010,Zq_uHvmoIl8,https://www.youtube.com/watch?v=Zq_uHvmoIl8,train,2,1,entrevista tv
id000010,DAE3kgEdOb8,https://www.youtube.com/watch?v=DAE3kgEdOb8,train,3,1,entrevista tv
id000010,OxLxNoVM-TI,https://www.youtube.com/watch?v=OxLxNoVM-TI,train,4,1,entrevista tv        

id000011,DNS6KllLi58,https://www.youtube.com/watch?v=DNS6KllLi58,train,1,1,entrevista tv
id000011,F5Kb1NQKXvE,https://www.youtube.com/watch?v=F5Kb1NQKXvE,train,2,1,entrevista tv
id000011,cIjHj6xF-oo,https://www.youtube.com/watch?v=cIjHj6xF-oo,train,3,1,entrevista tv
id000011,17SYr1XIoy0,https://www.youtube.com/watch?v=17SYr1XIoy0,train,4,1,entrevista tv 
id000011,JGsaXIWFI1I,https://www.youtube.com/watch?v=JGsaXIWFI1I,train,5,1,entrevista tv
id000011,5yXv9CtutbM,https://www.youtube.com/watch?v=5yXv9CtutbM,train,6,1,entrevista tv
