VoxCeleb ID,Gender,Set,Name,Num utterances,Num videos,Total duration
id000001,female,dev,Amaia Salamanca,50,5,110.2
id000002,male,dev,Mario Vaquerizo,50,4,112.84025
id000003,female,dev,Carolina Yuste,50,4,124.96
id000004,female,dev,Ana Guerra,50,4,112.76
id000005,female,dev,Najwa Nimri,50,4,110.9200625
id000006,female,dev,Aura Garrido,50,4,116.04
id000007,female,dev,María León,50,4,130.3199375
id000008,male,dev,Fernando Tejero,50,6,108.7999375
id000009,male,dev,Martiño Rivas,50,4,108.3200625
id000010,female,dev,María Pedraza,50,4,117.4
id000011,male,dev,Yon González,50,9,107.31987500000001
id000012,male,dev,Paco León,50,4,117.7199375
id000013,male,dev,Hugo Silva,50,4,112.88006250000001
id000014,male,dev,Álvaro Morte,50,7,116.1599375
id000015,male,dev,Pedro Alonso,50,4,110.72
id000016,male,dev,Pepón Nieto,50,4,128.6800625
id000017,male,dev,José Luis Gil,50,4,113.9200625
id000018,female,dev,Michelle Jenner,50,5,111.1199375
id000019,female,dev,Claudia Salas,50,5,116.160125
id000020,female,dev,Itziar Ituño,50,4,117.96000000000001
id000021,female,dev,Miren Ibarguren,50,7,113.12006249999999
id000022,female,dev,Belén Cuesta,50,3,120.6000625
id000023,female,dev,Maggie Civantos,50,5,112.7599375
id000024,female,dev,María Valverde,50,6,107.04006249999999
id000025,female,dev,Ángela Molina,50,4,116.99999999999999
id000026,female,dev,Angy Fernández,50,4,115.52000000000001
id000027,female,dev,Natalia Millán,50,4,124.68006249999999
id000028,male,dev,Salva Reina,50,6,115.80000000000001
id000029,male,dev,Jaime Lorente,50,5,115.2
id000030,male,dev,Miguel Herrán,50,4,130.6399375
id000031,male,dev,Luis Tosar,50,6,119.55981249999999
id000032,female,dev,Elena Rivera,50,4,110.60000000000001
id000033,male,dev,Loquillo,50,4,115.16
id000034,female,dev,Luz Casal,50,4,108.91993749999999
id000035,male,dev,Iñaki Gabilondo,50,3,128.9199375
id000036,female,dev,Marta Robles,50,6,118.599875
id000037,male,dev,Roberto Leal,50,4,113.4399375
id000038,female,dev,Eva Soriano,50,8,114.3600625
id000039,male,dev,Carlos Alcaraz,50,4,118.4800625
id000040,female,dev,Cristina Gutiérrez,50,4,111.719875
id000041,male,dev,Juan Luis Arsuaga,50,4,117.75999999999999
id000042,female,dev,María Blasco,50,4,110.44012500000001
id000043,male,dev,Karlos Arguiñano,50,5,124.92
id000044,female,dev,Samantha Vallejo-Nágera,50,5,115.960125
id000045,male,dev,Rodrigo Cuevas,50,6,117.8000625
id000046,female,dev,Dolores Redondo,50,5,119.520125
id000047,male,dev,Ángel Martín,50,3,118.8800625
id000048,female,dev,Ana Pontón,50,6,123.079875
id000049,male,dev,Miguel Induráin,50,3,114.2399375
id000050,female,dev,Judit Mascó,50,5,114.92025
id000051,male,dev,Ricard Camarena,50,4,114.0400625
id000052,male,dev,Andreu Genestra,50,4,122.7599375
id000053,male,dev,José Andrés,50,3,121.76
id000054,male,dev,Joan Roca,50,4,112.91981249999999
id000055,male,dev,Sergi Arola,50,2,108.12
id000056,male,dev,Julius Bienert,50,5,117.51993749999998
id000057,male,dev,Eduardo José Daporta,50,4,120.480125
id000058,male,dev,Pedro Subijana Reza,50,4,123.2399375
id000059,male,dev,Ángel León,50,4,116.08
id000060,female,dev,Vicky Sevilla,50,4,117.960125
id000061,female,dev,Esther Manzano,50,6,130.88
