model,metric,trial,group,base,adapted
ResNetSE34L,EER_percent,A,female,8.696,6.800
ResNetSE34L,EER_percent,A,male,6.088,4.920
ResNetSE34L,EER_percent,B,female,14.848,11.376
ResNetSE34L,EER_percent,B,male,11.936,9.480
ResNetSE34L,minDCF,A,female,0.42712,0.35044
ResNetSE34L,minDCF,A,male,0.30264,0.24336
ResNetSE34L,minDCF,B,female,0.73992,0.65176
ResNetSE34L,minDCF,B,male,0.61968,0.49936
ResNetSE34V2,EER_percent,A,female,5.356,5.016
ResNetSE34V2,EER_percent,A,male,3.496,3.416
ResNetSE34V2,EER_percent,B,female,9.488,10.880
ResNetSE34V2,EER_percent,B,male,8.560,8.568
ResNetSE34V2,minDCF,A,female,0.21956,0.24032
ResNetSE34V2,minDCF,A,male,0.19300,0.19684
ResNetSE34V2,minDCF,B,female,0.51464,0.56676
ResNetSE34V2,minDCF,B,male,0.46496,0.49184

